Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,1.934630424,2.026742565,4.186839219,14.63713748,27.75228919,34.64557965,42.3278943,47.26736672,52.29422299,52.50659628,52.91282498,53.53984864,53.50814237,53.50220912,53.49686425,53.50100414,53.49871047,53.50258611,53.50499958,53.51089408
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,6.713312764,7.846715923,13.85007405,106.8072959,175.895872,201.8505356,225.0393743,243.990558,259.5522965,268.4133313,277.8164513,283.7505565,285.8024527,288.9063413,285.2203067,284.1840306,288.9174833,292.1945812,292.2780357,292.1878067
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,84.05523048,81.17041036,151.0443391,175.9846432,175.7820826,175.7777163,175.7777163,175.7777163,175.7777163,175.7777163,175.7777163,175.7777163,175.7777163,175.7777163,175.7777163,175.7777163,175.7777163,175.7777163,175.7777163,175.7777163
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,912.1143019,1070.058905,1760.580806,2947.27374,3146.326245,3160.60512,3182.61683,3117.449543,3118.420302,3097.335388,3118.07832,3135.59737,3167.024966,3202.880988,3222.232415,3270.165016,3303.271683,3337.448223,3371.090289,3404.732612
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,122.3629984,126.6186762,125.3125748,102.4522156,102.3590873,102.8037291,114.5345903,113.1435066,130.9722836,154.3020183,171.5073073,200.6665539,221.4751607,226.8435967,229.9010725,242.488817,244.1564491,236.7439293,225.4135415,215.1793682
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,417.7673803,416.0016013,586.8626502,785.2463611,1025.250015,1238.221212,1511.676862,1584.331397,2043.013682,2739.970904,3415.628207,3901.309051,4570.881934,4960.975447,5497.513469,6230.403628,6548.872775,6550.647953,6578.214954,6360.114066
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,53.19222386,16.89946354,12.81539027,17.25993721,10.79154632,7.284646841,7.628143573,8.418144132,10.04926282,9.458325391,8.615885222,6.837594213,5.92103407,5.605593308,6.327618543,6.218277863,6.642594941,6.034719705,6.46329014,6.408538648
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,450.7859708,391.4407673,395.1488107,419.0004868,351.3114809,338.7805034,356.7799502,358.6717174,397.6156148,439.1918314,444.8886269,446.7814682,392.5224186,365.1948542,334.454112,321.8866387,292.8728605,270.5328887,236.8117807,223.8518542
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,0,0,0,0,1.475237823,1.099250222,1.985558409,2.00701155,3.627828751,4.49597032,5.011505621,4.414613656,4.802258451,4.993713018,5.829994292,5.839232425,6.269300759,5.787214057,6.263178312,6.302829029
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,0,0,0,0,9.212659925,10.52213054,51.29453804,41.42087988,60.7171739,93.45788845,132.1327224,160.8633552,188.4257022,199.4302157,204.2879488,204.0621863,198.5805533,191.1225946,175.700943,172.2474676
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,53.19222386,16.89946354,12.81539027,17.25993721,9.3163085,6.185396619,5.642585164,6.411132582,6.421434066,4.962355072,3.604379602,2.422980557,1.11877562,0.61188029,0.49762425,0.379045438,0.373294181,0.247505648,0.200111828,0.105709619
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,450.7859708,391.4407673,395.1488107,419.0004868,342.098821,328.2583729,305.4854122,317.2508375,336.8984409,345.7339429,312.7559045,285.9181129,204.0967164,165.7646385,130.1661632,117.8244524,94.29230725,79.4102941,61.11083776,51.6043866
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,0.76338066,3.27281295,61.46927307,218.8401815,610.4502597,1023.45524,1290.990184,1402.778436,1515.034009,1612.295303,1789.906748,1960.024996,2151.856373,2363.153373,2577.66116,2737.31352,2876.03693,3018.748457,3163.093717,3335.313366
GCAM-PR 5.3,Current Policies,World,Capacity Electricity,GW,3.954989195,30.93073591,2010.081351,12837.25674,33536.85351,69211.48316,93242.27673,116247.5721,148272.8755,183076.6366,224863.3052,266754.7466,313908.2498,371862.9242,431993.6615,484517.7132,526679.0029,552399.8324,562239.0376,574047.1241
GCAM-PR 5.3,Current Policies,USA,Capacity Electricity,GW,0.272143447,0.401362054,3.137669677,6.016951273,8.30636297,10.04575918,13.19231409,13.22421882,18.95998263,26.24794217,33.75728335,36.41028444,38.63869512,34.53279778,30.71536293,25.76697301,23.77707212,21.58799672,20.86931201,19.31997256
